,msg_type,count,msg_channel,msg_note,msg_velocity,tick
0,['note_on'],1,[0],[68],[64],360
1,['note_on'],1,[0],[68],[64],360
2,['note_on'],1,[0],[68],[64],360
3,['note_on'],1,[0],[68],[64],360
4,['note_on'],1,[0],[68],[64],360
5,['note_on'],1,[0],[68],[64],360
6,['note_on'],1,[0],[68],[64],360
7,['note_on'],1,[0],[68],[64],360
8,['note_on'],1,[0],[68],[64],360
9,['note_on'],1,[0],[68],[64],360
10,['note_on'],1,[0],[68],[64],360
11,['note_on'],1,[0],[68],[64],360
12,['note_on'],1,[0],[68],[64],360
13,['note_on'],1,[0],[68],[64],360
14,['note_on'],1,[0],[68],[64],360
15,['note_on'],1,[0],[68],[64],360
16,['note_on'],1,[0],[68],[64],360
17,['note_on'],1,[0],[68],[64],360
18,['note_on'],1,[0],[68],[64],360
19,['note_on'],1,[0],[68],[64],360
20,['note_on'],1,[0],[68],[64],360
21,['note_on'],1,[0],[68],[64],360
22,['note_on'],1,[0],[68],[64],360
23,['note_on'],1,[0],[68],[64],360
24,['note_on'],1,[0],[68],[64],360
25,['note_on'],1,[0],[68],[64],360
26,['note_on'],1,[0],[68],[64],360
27,['note_on'],1,[0],[68],[64],360
28,['note_on'],1,[0],[68],[64],360
29,['note_on'],1,[0],[68],[64],360
30,['note_on'],1,[0],[68],[64],360
31,['note_on'],1,[0],[68],[64],360
32,['note_on'],1,[0],[68],[64],360
33,['note_on'],1,[0],[68],[64],360
34,['note_on'],1,[0],[68],[64],360
35,['note_on'],1,[0],[68],[64],360
36,['note_on'],1,[0],[68],[64],360
37,['note_on'],1,[0],[68],[64],360
38,['note_on'],1,[0],[68],[64],360
39,['note_on'],1,[0],[68],[64],360
40,['note_on'],1,[0],[68],[64],360
41,['note_on'],1,[0],[68],[64],360
42,['note_on'],1,[0],[68],[64],360
43,['note_on'],1,[0],[68],[64],360
44,['note_on'],1,[0],[68],[64],360
45,['note_on'],1,[0],[68],[64],360
46,['note_on'],1,[0],[68],[64],360
47,['note_on'],1,[0],[68],[64],360
48,['note_on'],1,[0],[68],[64],360
49,['note_on'],1,[0],[68],[64],360
50,['note_on'],1,[0],[68],[64],360
51,['note_on'],1,[0],[68],[64],360
52,['note_on'],1,[0],[68],[64],360
53,['note_on'],1,[0],[68],[64],360
54,['note_on'],1,[0],[68],[64],360
55,['note_on'],1,[0],[68],[64],360
56,['note_on'],1,[0],[68],[64],360
57,['note_on'],1,[0],[68],[64],360
