,msg_type,count,msg_channel,msg_note,msg_velocity,tick
144,['note_on'],1,[0],[67],[64],1560
145,['note_on'],1,[0],[67],[64],1560
146,['note_on'],1,[0],[67],[64],1560
147,['note_on'],1,[0],[67],[64],1560
148,['note_on'],1,[0],[67],[64],1560
149,['note_on'],1,[0],[67],[64],1560
150,['note_on'],1,[0],[67],[64],1560
151,['note_on'],1,[0],[67],[64],1560
152,['note_on'],1,[0],[67],[64],1560
153,['note_on'],1,[0],[67],[64],1560
154,['note_on'],1,[0],[67],[64],1560
155,['note_on'],1,[0],[67],[64],1560
156,['note_on'],1,[0],[67],[64],1560
157,['note_on'],1,[0],[67],[64],1560
158,['note_on'],1,[0],[67],[64],1560
159,['note_on'],1,[0],[67],[64],1560
160,['note_on'],1,[0],[67],[64],1560
161,['note_on'],1,[0],[67],[64],1560
162,['note_on'],1,[0],[67],[64],1560
163,['note_on'],1,[0],[67],[64],1560
164,['note_on'],1,[0],[67],[64],1560
165,['note_on'],1,[0],[67],[64],1560
166,['note_on'],1,[0],[67],[64],1560
167,['note_on'],1,[0],[67],[64],1560
168,['note_on'],1,[0],[67],[64],1560
169,['note_on'],1,[0],[67],[64],1560
170,['note_on'],1,[0],[67],[64],1560
171,['note_on'],1,[0],[67],[64],1560
172,['note_on'],1,[0],[67],[64],1560
173,['note_on'],1,[0],[67],[64],1560
174,['note_on'],1,[0],[67],[64],1560
175,['note_on'],1,[0],[67],[64],1560
176,['note_on'],1,[0],[67],[64],1560
177,['note_on'],1,[0],[67],[64],1560
178,['note_on'],1,[0],[67],[64],1560
179,['note_on'],1,[0],[67],[64],1560
180,['note_on'],1,[0],[67],[64],1560
181,['note_on'],1,[0],[67],[64],1560
182,['note_on'],1,[0],[67],[64],1560
183,['note_on'],1,[0],[67],[64],1560
184,['note_on'],1,[0],[67],[64],1560
185,['note_on'],1,[0],[67],[64],1560
186,['note_on'],1,[0],[67],[64],1560
187,['note_on'],1,[0],[67],[64],1560
188,['note_on'],1,[0],[67],[64],1560
189,['note_on'],1,[0],[67],[64],1560
190,['note_on'],1,[0],[67],[64],1560
191,['note_on'],1,[0],[67],[64],1560
192,['note_on'],1,[0],[67],[64],1560
193,['note_on'],1,[0],[67],[64],1560
194,['note_on'],1,[0],[67],[64],1560
195,['note_on'],1,[0],[67],[64],1560
196,['note_on'],1,[0],[67],[64],1560
197,['note_on'],1,[0],[67],[64],1560
198,['note_on'],1,[0],[67],[64],1560
199,['note_on'],1,[0],[67],[64],1560
200,['note_on'],1,[0],[67],[64],1560
201,['note_on'],1,[0],[67],[64],1560
202,['note_on'],1,[0],[67],[64],1560
203,['note_on'],1,[0],[67],[64],1560
204,['note_on'],1,[0],[67],[64],1560
205,['note_on'],1,[0],[67],[64],1560
206,['note_on'],1,[0],[67],[64],1560
207,['note_on'],1,[0],[67],[64],1560
208,['note_on'],1,[0],[67],[64],1560
209,['note_on'],1,[0],[67],[64],1560
210,['note_on'],1,[0],[67],[64],1560
211,['note_on'],1,[0],[67],[64],1560
212,['note_on'],1,[0],[67],[64],1560
213,['note_on'],1,[0],[67],[64],1560
214,['note_on'],1,[0],[67],[64],1560
215,['note_on'],1,[0],[67],[64],1560
216,['note_on'],1,[0],[67],[64],1560
217,['note_on'],1,[0],[67],[64],1560
218,['note_on'],1,[0],[67],[64],1560
219,['note_on'],1,[0],[67],[64],1560
220,['note_on'],1,[0],[67],[64],1560
221,['note_on'],1,[0],[67],[64],1560
222,['note_on'],1,[0],[67],[64],1560
223,['note_on'],1,[0],[67],[64],1560
224,['note_on'],1,[0],[67],[64],1560
225,['note_on'],1,[0],[67],[64],1560
226,['note_on'],1,[0],[67],[64],1560
227,['note_on'],1,[0],[67],[64],1560
228,['note_on'],1,[0],[67],[64],1560
229,['note_on'],1,[0],[67],[64],1560
230,['note_on'],1,[0],[67],[64],1560
231,['note_on'],1,[0],[67],[64],1560
232,['note_on'],1,[0],[67],[64],1560
233,['note_on'],1,[0],[67],[64],1560
234,['note_on'],1,[0],[67],[64],1560
235,['note_on'],1,[0],[67],[64],1560
236,['note_on'],1,[0],[67],[64],1560
237,['note_on'],1,[0],[67],[64],1560
238,['note_on'],1,[0],[67],[64],1560
239,['note_on'],1,[0],[67],[64],1560
