sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
66.1,[],[],[],[],,0,0,0,0,0,0
66.2,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 70]",ppp,0,2,0,0,0,0
66.3,[],[],[],[],,0,0,0,0,0,0
66.4,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 42, 81, 50]","[0, 0, 80, 78]",pp,0,4,0,0,0,0
66.5,[],[],[],[],,0,0,0,0,0,0
66.6,"['note_off', 'note_on']","[0, 0]","[81, 69]","[0, 53]",ppp,0,2,0,0,0,0
66.7,[],[],[],[],,0,0,0,0,0,0
66.8,[],[],[],[],,0,0,0,0,0,0
66.9,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 50, 76, 57]","[0, 0, 89, 81]",pp,0,4,0,0,0,0
67.0,[],[],[],[],,0,0,0,0,0,0
67.1,"['note_off', 'note_on']","[0, 0]","[76, 69]","[0, 67]",ppp,0,2,0,0,0,0
67.2,[],[],[],[],,0,0,0,0,0,0
67.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 57, 81, 64]","[0, 0, 95, 87]",pp,0,4,0,0,0,0
67.4,[],[],[],[],,0,0,0,0,0,0
67.5,[],[],[],[],,0,0,0,0,0,0
67.6,"['note_off', 'note_on']","[0, 0]","[81, 83]","[0, 82]",pp,0,2,0,0,0,0
67.7,[],[],[],[],,0,0,0,0,0,0
67.8,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[83, 64, 81, 50]","[0, 0, 71, 68]",ppp,0,4,0,0,0,0
67.9,[],[],[],[],,0,0,0,0,0,0
68.0,"['note_off', 'note_on']","[0, 0]","[81, 80]","[0, 72]",pp,0,2,0,0,0,0
68.1,[],[],[],[],,0,0,0,0,0,0
68.2,[],[],[],[],,0,0,0,0,0,0
68.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 50, 81, 45]","[0, 0, 80, 73]",pp,0,4,0,0,0,0
68.4,[],[],[],[],,0,0,0,0,0,0
68.5,"['note_off', 'note_on']","[0, 0]","[81, 83]","[0, 81]",pp,0,2,0,0,0,0
68.6,[],[],[],[],,0,0,0,0,0,0
68.7,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[83, 45, 85, 52]","[0, 0, 84, 82]",pp,0,4,0,0,0,0
68.8,[],[],[],[],,0,0,0,0,0,0
68.9,"['note_off', 'note_on']","[0, 0]","[85, 86]","[0, 79]",pp,0,2,0,0,0,0
69.0,[],[],[],[],,0,0,0,0,0,0
69.1,[],[],[],[],,0,0,0,0,0,0
69.2,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[86, 52, 88, 59]","[0, 0, 83, 83]",pp,0,4,0,0,0,0
69.3,[],[],[],[],,0,0,0,0,0,0
69.4,"['note_off', 'note_on']","[0, 0]","[88, 85]","[0, 69]",ppp,0,2,0,0,0,0
69.5,[],[],[],[],,0,0,0,0,0,0
69.6,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[85, 59, 83, 45]","[0, 0, 73, 64]",ppp,0,4,0,0,0,0
69.7,[],[],[],[],,0,0,0,0,0,0
69.8,[],[],[],[],,0,0,0,0,0,0
69.9,"['note_off', 'note_on']","[0, 0]","[83, 81]","[0, 77]",pp,0,2,0,0,0,0
70.0,[],[],[],[],,0,0,0,0,0,0
70.1,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 45, 80, 42]","[0, 0, 71, 68]",ppp,0,4,0,0,0,0
70.2,[],[],[],[],,0,0,0,0,0,0
70.3,[],[],[],[],,0,0,0,0,0,0
70.4,[],[],[],[],,0,0,0,0,0,0
70.5,[],[],[],[],,0,0,0,0,0,0
70.6,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 42, 71, 47]","[0, 0, 60, 81]",ppp,0,4,0,0,0,0
70.7,[],[],[],[],,0,0,0,0,0,0
70.8,[],[],[],[],,0,0,0,0,0,0
70.9,[],[],[],[],,0,0,0,0,0,0
71.0,[],[],[],[],,0,0,0,0,0,0
71.1,[],[],[],[],,0,0,0,0,0,0
71.2,[],[],[],[],,0,0,0,0,0,0
71.3,[],[],[],[],,0,0,0,0,0,0
71.4,[],[],[],[],,0,0,0,0,0,0
71.5,[],[],[],[],,0,0,0,0,0,0
71.6,[],[],[],[],,0,0,0,0,0,0
71.7,[],[],[],[],,0,0,0,0,0,0
71.8,[],[],[],[],,0,0,0,0,0,0
71.9,[],[],[],[],,0,0,0,0,0,0
72.0,[],[],[],[],,0,0,0,0,0,0
72.1,[],[],[],[],,0,0,0,0,0,0
72.2,[],[],[],[],,0,0,0,0,0,0
72.3,[],[],[],[],,0,0,0,0,0,0
72.4,[],[],[],[],,0,0,0,0,0,0
72.5,[],[],[],[],,0,0,0,0,0,0
72.6,[],[],[],[],,0,0,0,0,0,0
72.7,[],[],[],[],,0,0,0,0,0,0
72.8,[],[],[],[],,0,0,0,0,0,0
72.9,[],[],[],[],,0,0,0,0,0,0
73.0,[],[],[],[],,0,0,0,0,0,0
73.1,[],[],[],[],,0,0,0,0,0,0
73.2,[],[],[],[],,0,0,0,0,0,0
73.3,[],[],[],[],,0,0,0,0,0,0
73.4,[],[],[],[],,0,0,0,0,0,0
73.5,[],[],[],[],,0,0,0,0,0,0
73.6,[],[],[],[],,0,0,0,0,0,0
73.7,[],[],[],[],,0,0,0,0,0,0
73.8,[],[],[],[],,0,0,0,0,0,0
73.9,[],[],[],[],,0,0,0,0,0,0
74.0,[],[],[],[],,0,0,0,0,0,0
74.1,[],[],[],[],,0,0,0,0,0,0
74.2,[],[],[],[],,0,0,0,0,0,0
74.3,[],[],[],[],,0,0,0,0,0,0
74.4,[],[],[],[],,0,0,0,0,0,0
